ticker,quantity,algo,infocode
MCHPP,1,VWAP,380699
LBTYA,4,VWAP,61080
LBTYK,5,VWAP,70226
MPC,0,VWAP,252173
AAPL,0,VWAP,72990
ABM,0,VWAP,69692
ABT,0,VWAP,69689
B,1,VWAP,52577
AB,0,VWAP,52400
IEP,-2,VWAP,70459
RAMP,1,VWAP,64322
ADBE,0,VWAP,64327
ADI,0,VWAP,59642
ADM,0,VWAP,69695
AEE,0,VWAP,69957
AEP,0,VWAP,52590
AFL,0,VWAP,60801
AIG,0,VWAP,52604
AIR,0,VWAP,72943
AIT,0,VWAP,52608
AJG,0,VWAP,52611
MATX,0,VWAP,60057
ALK,0,VWAP,64262
ALX,0,VWAP,49860
AMAT,0,VWAP,63722
PLD,0,VWAP,64265
AMD,0,VWAP,72952
AME,0,VWAP,67193
AMGN,0,VWAP,67235
FRME,0,VWAP,66623
AMT,0,VWAP,64269
AN,0,VWAP,60279
AOS,0,VWAP,64280
APD,0,VWAP,72881
APH,0,VWAP,60906
APOG,0,VWAP,49856
ARW,0,VWAP,49670
ASB,0,VWAP,65152
ASTE,-1,VWAP,61229
ATRO,0,VWAP,60979
EPAC,-1,VWAP,67228
AVA,0,VWAP,65037
AVT,0,VWAP,69661
AVY,0,VWAP,72920
AXP,0,VWAP,51211
BA,0,VWAP,46157
BAC,0,VWAP,67206
BAX,0,VWAP,68011
BBY,0,VWAP,57050
BC,0,VWAP,72928
BCE,0,VWAP,65133
BCPC,0,VWAP,51683
BDX,0,VWAP,57061
BEN,0,VWAP,69732
WRB,0,VWAP,67157
BF.A,13,VWAP,57063
BF.B,0,VWAP,57064
BNY,0,VWAP,57084
BKE,0,VWAP,60940
BKH,0,VWAP,59748
BALL,0,VWAP,57094
BMI,0,VWAP,57102
BPOP,0,VWAP,60835
BRC,0,VWAP,49733
MTRN,0,VWAP,57142
CAC,0,VWAP,60839
CAG,4,VWAP,51922
CAT,0,VWAP,46092
CBRL,0,VWAP,50569
CBSH,0,VWAP,58923
CBT,0,VWAP,63142
CBU,0,VWAP,63143
CCK,0,VWAP,63145
FIZZ,0,VWAP,66667
CDE,5,VWAP,63147
AMZN,0,VWAP,45293
CHCO,0,VWAP,60043
CHD,0,VWAP,63164
BBT,0,VWAP,50771
PPC,2,VWAP,218471
CINF,0,VWAP,67254
GE,0,VWAP,46238
CL,0,VWAP,61052
CLF,4,VWAP,65062
CLH,0,VWAP,60723
CLX,0,VWAP,65068
CMC,0,VWAP,67194
CMCSA,9,VWAP,69755
CMS,0,VWAP,72872
CNA,0,VWAP,63194
CNMD,0,VWAP,57599
CNS,0,VWAP,63200
COKE,0,VWAP,49792
COO,0,VWAP,61571
CPB,1,VWAP,69663
CPF,0,VWAP,67691
EHC,0,VWAP,55722
CRS,0,VWAP,61535
CSL,0,VWAP,72882
CPT,0,VWAP,60602
FLR,0,VWAP,72600
CSWC,0,VWAP,
CSX,0,VWAP,54178
BXMT,4,VWAP,65100
LUMN,15,VWAP,54181
CTS,0,VWAP,54183
CMI,0,VWAP,65046
CVS,0,VWAP,54192
CW,0,VWAP,61199
UVE,0,VWAP,67455
D,0,VWAP,65128
DCI,0,VWAP,72885
DCO,0,VWAP,72886
DE,0,VWAP,65049
GEN,1,VWAP,53117
DHR,0,VWAP,49596
DIS,0,VWAP,46669
DJCO,0,VWAP,64397
DLX,-1,VWAP,54235
DOV,0,VWAP,49459
DRI,0,VWAP,54254
DTE,0,VWAP,63956
DUK,0,VWAP,63961
ECL,0,VWAP,63971
ED,0,VWAP,61464
EFX,0,VWAP,63982
EGP,0,VWAP,51379
