symbol,quantity,algo,open_px
MCHPP,1,VWAP,66.150002
LBTYA,4,VWAP,10.710000
LBTYK,5,VWAP,10.500000
MPC,0,VWAP,303.170013
AAPL,0,VWAP,314.339996
ABM,0,VWAP,49.189999
ABT,0,VWAP,107.190002
B,1,VWAP,40.750000
AB,0,VWAP,37.279999
IEP,-2,VWAP,7.530000
RAMP,1,VWAP,37.849998
ADBE,0,VWAP,252.229996
ADI,0,VWAP,375.250000
ADM,0,VWAP,78.589996
AEE,0,VWAP,109.879997
AEP,0,VWAP,127.980003
AFL,0,VWAP,126.250000
AIG,0,VWAP,81.000000
AIR,0,VWAP,147.649994
AIT,0,VWAP,360.000000
AJG,0,VWAP,252.779999
MATX,0,VWAP,203.970001
ALK,0,VWAP,51.470001
ALX,0,VWAP,280.269989
AMAT,0,VWAP,525.340027
PLD,0,VWAP,140.279999
AMD,0,VWAP,471.750000
AME,0,VWAP,255.740005
AMGN,0,VWAP,413.720001
FRME,0,VWAP,43.560001
AMT,0,VWAP,169.690002
AN,0,VWAP,214.960007
AOS,0,VWAP,63.189999
APD,0,VWAP,297.529999
APH,0,VWAP,169.740005
APOG,0,VWAP,43.009998
ARW,0,VWAP,226.320007
ASB,0,VWAP,31.770000
ASTE,-1,VWAP,45.650002
ATRO,0,VWAP,76.290001
EPAC,-1,VWAP,37.330002
AVA,0,VWAP,39.099998
AVT,0,VWAP,98.300003
AVY,0,VWAP,176.929993
AXP,0,VWAP,349.799988
BA,0,VWAP,240.000000
BAC,0,VWAP,63.910000
BAX,0,VWAP,27.410000
BBY,0,VWAP,84.410004
BC,0,VWAP,83.389999
BCE,0,VWAP,22.160000
BCPC,0,VWAP,180.000000
BDX,0,VWAP,175.880005
BEN,0,VWAP,35.000000
WRB,0,VWAP,73.120003
BF.A,13,VWAP,29.219999
BF.B,0,VWAP,29.010000
BNY,0,VWAP,159.339996
BKE,0,VWAP,45.990002
BKH,0,VWAP,73.000000
BALL,0,VWAP,63.799999
BMI,0,VWAP,140.850006
BPOP,0,VWAP,177.729996
BRC,0,VWAP,98.900002
MTRN,0,VWAP,290.839996
CAC,0,VWAP,59.790001
CAG,4,VWAP,15.100000
CAT,0,VWAP,862.000000
CBRL,0,VWAP,58.259998
CBSH,0,VWAP,60.000000
CBT,0,VWAP,83.389999
CBU,0,VWAP,66.750000
CCK,0,VWAP,122.269997
FIZZ,0,VWAP,32.549999
CDE,5,VWAP,16.000000
AMZN,0,VWAP,272.769989
CHCO,0,VWAP,146.500000
CHD,0,VWAP,104.000000
BBT,0,VWAP,32.040001
PPC,2,VWAP,26.650000
CINF,0,VWAP,179.690002
GE,0,VWAP,383.970001
CL,0,VWAP,94.050003
CLF,4,VWAP,12.600000
CLH,0,VWAP,311.929993
CLX,0,VWAP,106.260002
CMC,0,VWAP,75.949997
CMCSA,9,VWAP,24.990000
CMS,0,VWAP,72.250000
CNA,0,VWAP,53.009998
