INFOCODE,MARKETDATE,ADV20,ADV63,ADV20_ADJ,ADV63_ADJ
6347,2026-08-04,1158565.35,1307168.0,1172471.3645462159,1324293.7253768241
36100,2026-08-04,20956909.55,25510788.15873016,20956909.55,25510788.15873016
39985,2026-08-04,39102865.35,31391218.174603175,39102865.35,31391218.174603175
39988,2026-08-04,38930942.55,41110624.93650793,38930942.55,41110624.93650793
40142,2026-08-04,12611516.1,12517294.42857143,12611516.099999975,12517294.428571595
42241,2026-08-04,282431.5,451688.0,282431.5,451688.0
45293,2026-08-04,49549248.25,50447488.79365079,49549248.25,50447488.79365079
46092,2026-08-04,3147263.5,3237332.1904761903,3147263.5,3237332.1904761903
46113,2026-08-04,39442096.7,41935544.85714286,39442096.700000264,41935544.85714307
46120,2026-08-04,17514785.3,17829712.936507937,17514785.3,17829712.936507937
46150,2026-08-04,2772629.5,2784430.365079365,2772629.5,2784430.365079365
46157,2026-08-04,6076015.2,6543372.206349206,6076015.2,6543372.206349206
46169,2026-08-04,8740392.55,10121016.015873017,8740392.549999917,10121016.015872993
46171,2026-08-04,14599018.7,16665631.761904761,14599018.699999988,16665631.761904769
46182,2026-08-04,15108786.95,18827353.34920635,15108786.950000197,18827353.349206403
46238,2026-08-04,3924294.05,4758608.746031746,3924294.0500000594,4758608.74603166
46243,2026-08-04,961855.5,904476.6666666666,961855.5000000041,904476.6666666586
46244,2026-08-04,14319456.5,11309704.333333334,14319456.499999981,11309704.333333299
46415,2026-08-04,13048100.65,14206729.761904761,13048100.65,14206729.761904761
46418,2026-08-04,7063022.4,7899236.873015873,7063022.4,7899236.873015873
46422,2026-08-04,8628326.9,8849935.61904762,8628326.9,8849935.619047616
46588,2026-08-04,21320883.85,23270494.396825396,21320883.85,23270494.396825343
46668,2026-08-04,4613337.25,4671544.349206349,4613337.25,4671544.349206349
46669,2026-08-04,11204215.2,10690044.603174603,11204215.2,10690044.603174599
46712,2026-08-04,116441677.8,128854138.04761904,116441677.8,128854138.04761904
49155,2026-08-04,2030763.35,2232658.26984127,2030763.35,2232658.26984127
49161,2026-08-04,266537.85,271847.85714285716,266537.8499999996,271847.8571428575
49167,2026-08-04,39410096.25,28932590.698412698,39410096.25,28932590.698412698
49187,2026-08-04,305024.55,245029.66666666666,305024.55,245029.66666666666
49211,2026-08-04,47360346.0,65569533.50793651,47360346.0,65569533.50793651
49234,2026-08-04,2846396.45,3038098.888888889,2846396.449999994,3038098.8888889304
49256,2026-08-04,4223399.5,4503725.507936508,4223399.5,4503725.507936508
49272,2026-08-04,346892.0,643255.1746031746,346892.0,643255.1746031746
49310,2026-08-04,100780.1,99267.19047619047,100780.1,99267.19047619047
49350,2026-08-04,5174205.9,5494313.095238095,5174205.900000009,5494313.095238086
49353,2026-08-04,2455792.65,2693788.73015873,2455792.65,2693788.730158735
