infocode,px_date,open,close
6347,2026-08-04,193.42,195.16
36100,2026-08-04,119.39,121.74
39985,2026-08-04,141.01,145.74
39988,2026-08-04,480.9,492.81
40142,2026-08-04,134.32,136.87
42241,2026-08-04,393.67,392.12
45293,2026-08-04,276.06,277.42
46092,2026-08-04,922,876.54
46113,2026-08-04,25.04,25.41
46120,2026-08-04,85.79,86.56
46150,2026-08-04,189.15,191.45
46157,2026-08-04,236.76,237.16
46169,2026-08-04,128.46,128
46171,2026-08-04,151.62,153.96
46182,2026-08-04,26.57,28.82
46238,2026-08-04,374.52,377.28
46243,2026-08-04,200.65,204.65
46244,2026-08-04,224.76,235.15
46415,2026-08-04,48.82,50.81
46418,2026-08-04,97.85,97.73
46422,2026-08-04,144.04,148.01
46588,2026-08-04,109.005,111.55
46668,2026-08-04,270.33,268.34
46669,2026-08-04,97.87,98.18
46712,2026-08-04,95.24,100.86
49155,2026-08-04,130,131.42
49161,2026-08-04,44,54.75
49167,2026-08-04,15,15.39
49187,2026-08-04,232.93,244.53
49211,2026-08-04,2.145,2.16
49234,2026-08-04,305,308.73
49256,2026-08-04,150.04,149.2
49272,2026-08-04,4.16,4.17
49310,2026-08-04,155.29,156.08
49350,2026-08-04,25,25.83
49353,2026-08-04,85.665,87.02
49359,2026-08-04,37.94,38.7
49381,2026-08-04,45.56,45.84
49385,2026-08-04,9.74,9.16
49395,2026-08-04,4.65,4.84
49441,2026-08-04,7.52,7.54
49443,2026-08-04,106.2,109.61
49445,2026-08-04,13.15,13.14
49459,2026-08-04,207.51,209.93
49461,2026-08-04,22.54,22.46
49480,2026-08-04,20.565,20.33
49497,2026-08-04,220.85,208.2
49524,2026-08-04,23.555,24.71
49529,2026-08-04,368.02,423.6
49537,2026-08-04,452.14,445.23
49550,2026-08-04,146.93,152.78
49560,2026-08-04,225.34,242.47
49562,2026-08-04,4.26,4.38
49563,2026-08-04,56.71,58.07
49564,2026-08-04,14.98,15.23
49574,2026-08-04,48.08,49.71
49584,2026-08-04,228.82,236.6
49588,2026-08-04,68.39,68.65
49596,2026-08-04,197.93,194.78
49608,2026-08-04,11.62,11.23
49633,2026-08-04,12.81,13.4
49670,2026-08-04,219.96,227.67
49673,2026-08-04,8.38,8.8
49708,2026-08-04,12.1,12.18
49725,2026-08-04,66.07,66.38
49733,2026-08-04,96.03,97.71
49734,2026-08-04,168.03,168.26
49754,2026-08-04,167.31,170.33
49764,2026-08-04,51.91,52.84
49784,2026-08-04,27.89,28.36
49787,2026-08-04,330.1,368.83
49792,2026-08-04,179.5,181
49830,2026-08-04,15.5,15.22
49847,2026-08-04,142.11,147.8
49856,2026-08-04,41.86,42.53
49860,2026-08-04,268.27,273.84
49895,2026-08-04,198.02,200.15
49903,2026-08-04,66.51,66.08
49918,2026-08-04,17.98,17.58
49934,2026-08-04,324.05,326.25
49941,2026-08-04,60.47,60.15
49944,2026-08-04,25.335,25.5
49961,2026-08-04,76.81,74.48
49964,2026-08-04,109.19,111.57
49972,2026-08-04,90.75,93.58
49991,2026-08-04,20.01,20.04
50018,2026-08-04,51.04,52.06
50035,2026-08-04,125.81,127.73
50049,2026-08-04,753.76,760.66
50057,2026-08-04,299.42,300.79
50058,2026-08-04,14.83,15.23
50080,2026-08-04,45.81,45.27
50097,2026-08-04,1.13,1.12
50104,2026-08-04,31.35,31.29
50106,2026-08-04,185.81,190.46
50108,2026-08-04,18.28,18.39
50111,2026-08-04,14.52,14.88
50159,2026-08-04,125.1,129.89
50161,2026-08-04,675.63,684.76
50201,2026-08-04,1040,1046.99
50209,2026-08-04,25.61,25.48
50218,2026-08-04,21.81,21.87
50219,2026-08-04,410.63,412.25
50225,2026-08-04,121.11,121.67
50252,2026-08-04,180.53,181.62
50258,2026-08-04,6.87,6.83
50301,2026-08-04,131.33,132.03
50309,2026-08-04,107.125,109.11
50310,2026-08-04,29.06,28.24
50311,2026-08-04,230.14,228.04
50334,2026-08-04,136.64,139.7
50336,2026-08-04,89.91,90.82
50338,2026-08-04,41.32,42.32
50346,2026-08-04,26.82,27.15
50356,2026-08-04,207.27,210.75
50364,2026-08-04,71.82,73.8
50381,2026-08-04,70.15,71.52
50395,2026-08-04,552.07,553.58
50396,2026-08-04,40.49,40.41
50417,2026-08-04,129.08,133.59
50421,2026-08-04,583.61,607.2
50425,2026-08-04,166.89,166.06
50426,2026-08-04,42.58,42.7
50434,2026-08-04,115.5,115.98
50444,2026-08-04,46.38,46.69
50511,2026-08-04,35.72,35.67
50523,2026-08-04,170.75,174.61
50554,2026-08-04,2.33,2.37
50569,2026-08-04,57.18,57.12
50576,2026-08-04,15.57,15.72
50586,2026-08-04,55.06,56
50598,2026-08-04,98,98.1
50614,2026-08-04,9.44,9.51
50617,2026-08-04,95.18,92.86
50638,2026-08-04,179.17,181.45
50659,2026-08-04,102.65,104.14
50679,2026-08-04,748.46,760.36
50684,2026-08-04,82.95,85.325
50706,2026-08-04,61.35,60.73
50717,2026-08-04,2.42,2.43
50731,2026-08-04,31,30.95
50750,2026-08-04,2098.3,2117.86
50771,2026-08-04,31.95,32.07
50784,2026-08-04,57.53,58.89
50787,2026-08-04,294.65,299.2
50791,2026-08-04,87,89.59
50805,2026-08-04,35.4,35.53
50831,2026-08-04,82.46,82.79
50835,2026-08-04,7.58,7.73
50864,2026-08-04,137.87,136.18
50872,2026-08-04,329.55,325.74
50893,2026-08-04,104.96,106.13
50917,2026-08-04,40.3,40.73
50932,2026-08-04,36.5,37.13
50947,2026-08-04,11.4,11.89
50961,2026-08-04,26.76,26.28
50964,2026-08-04,51.4,51.59
50990,2026-08-04,289.34,296.35
50995,2026-08-04,4.79,4.53
51004,2026-08-04,20.2,20.44
51032,2026-08-04,149,153.62
51066,2026-08-04,77.31,75.86
51076,2026-08-04,7.71,7.65
51077,2026-08-04,160.64,170.43
51105,2026-08-04,130.315,130.6
51134,2026-08-04,1355.6,1275.05
51155,2026-08-04,311.99,323.17
51173,2026-08-04,195,200.25
51185,2026-08-04,41.21,42.23
51193,2026-08-04,13.12,13.55
51199,2026-08-04,84.7,84.31
51202,2026-08-04,20.57,19.61
51205,2026-08-04,104.33,104.72
51207,2026-08-04,111.79,112.58
51211,2026-08-04,345,346.71
51249,2026-08-04,63.62,68.44
51295,2026-08-04,104,105.1
51296,2026-08-04,80.9,86.22
51303,2026-08-04,258.54,263.79
51342,2026-08-04,37.75,38.38
51345,2026-08-04,139.78,140.6
51352,2026-08-04,38.93,39.54
51379,2026-08-04,206.97,204.17
51388,2026-08-04,353.36,358.09
