INFOCODE,TICKER,DSMNEM,SEDOL,DSQTNAME,DSCMPYNAME,TYPECODE,PRIMARYEXCHANGEMIC,PRIMARYEXCHANGENAME,CURRENCY,STATUSCODE,ISACTIVE,LISTINGSTARTDATE,DELISTDATE
4556,ONCY,@ONCY,BQMJ5W3,ONCOLYTICS BIOTECH,ONCOLYTICS BIOTECH INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,2001-10-08T00:00:00,
5029,LWSN,@LWSN,B13MMW5,LAWSON SOFTWARE DEAD - 06/07/11,LAWSON SOFTWARE INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2001-12-07T00:00:00,2011-07-06T00:00:00
6347,SCCO,U:SCCO,2823777,SOUTHERN COPPER,SOUTHERN COPPER CORP.,EQ,XNYS,New York SE,USD,A,True,1996-01-05T00:00:00,
22499,IMNPQ,@IMNPQ,BZ0XN04,IMMUNE PHARMACEUTICALS DEAD - DELIST.18/08/22,IMMUNE PHARMS.INCO.,EQ,EXPM,OTC Expert Mkt,USD,D,False,2006-01-05T00:00:00,2022-08-18T00:00:00
28547,TWX,U:TWX,B63QTN2,TIME WARNER DEAD - DELIST.16/06/18,TIME WARNER INCO.,EQ,XNYS,New York SE,USD,D,False,1992-03-19T00:00:00,2018-06-16T00:00:00
28797,AAUAF,@AAUAF,BZ0QMF1,ALMADEN MINERALS (OTC),ALMADEN MINERALS LTD.,EQ,OTCB,OTC - QB,USD,A,True,2005-12-19T00:00:00,
29695,OTLC,@OTLC,BMD26W0,ONCOTELIC THERAPEUTICS,ONCOTELIC THERP.INCO.,EQ,OTCB,OTC - QB,USD,A,True,1993-08-26T00:00:00,
35634,BBVA,U:BBVA,2042152,BBV.ARGENTARIA SPN.ADR 1:1,BBV.ARGT.SA,ADR,XNYS,New York SE,USD,A,True,1988-12-14T00:00:00,
36100,CSCO,@CSCO,2198163,CISCO SYSTEMS,CISCO SYSTEMS INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1990-02-16T00:00:00,
39985,ORCL,U:ORCL,2661568,ORACLE,ORACLE CORPORATION,EQ,XNYS,New York SE,USD,A,True,1986-03-12T00:00:00,
39988,MSFT,@MSFT,2588173,MICROSOFT,MICROSOFT CORPORATION,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1986-03-13T00:00:00,
40142,C,U:C,2297907,CITIGROUP,CITIGROUP INCO.,EQ,XNYS,New York SE,USD,A,True,1986-10-29T00:00:00,
40292,TELFY,@TELFY,2881098,TELEFONICA ADR 1:1,TELEFONICA SA,ADR,PINL,OTC Pnk Ltd Info,USD,A,True,1987-06-12T00:00:00,
41466,BHODQ,@BHODQ,2068910,B+H OCEAN CARRIERS DEAD - DELIST.21/05/13,B+H OCEAN CARRIERS LTD.,EQ,PINI,OTC Pink No Info,USD,D,False,1988-08-17T00:00:00,2013-05-21T00:00:00
42241,BAP,U:BAP,2232878,CREDICORP,CREDICORP LTD.,EQ,XNYS,New York SE,USD,A,True,1995-10-25T00:00:00,
42996,BVN,U:BVN,2210476,CIA.MINAS BUENAVENTURA ADR 1:1,CIA.DE MAS.BVT.SAA,ADR,XNYS,New York SE,USD,A,True,1996-05-15T00:00:00,
45293,AMZN,@AMZN,2000019,AMAZON.COM,AMAZON.COM INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1997-05-15T00:00:00,
46092,CAT,U:CAT,2180201,CATERPILLAR,CATERPILLAR INCO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46113,PFE,U:PFE,2684703,PFIZER,PFIZER INCO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46120,KO,U:KO,2206657,COCA COLA,THE COCA COLA CO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46136,TEN,U:TEN,2512600,TENNECO A DEAD - DELIST.17/11/22,TENNECO INCO.,EQ,XNYS,New York SE,USD,D,False,1973-01-02T00:00:00,2022-11-17T00:00:00
46150,MRSH,U:MRSH,2567741,MARSH,MARSH & MCLENNAN COS.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46157,BA,U:BA,2108601,BOEING,THE BOEING CO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46169,MRK,U:MRK,2778844,MERCK & COMPANY,MERCK & COMPANY INCO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46171,XOM,U:XOM,BVSRPD7,EXXONMOBIL HOLDINGS,EXXON MOBIL CORP.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46182,HPQ,U:HPQ,BYX4D52,HP,HP INCO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46238,GE,U:GE,BL59CR9,GE AEROSPACE,GENERAL ELECTRIC CO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46243,ITT,U:ITT,BZBY209,ITT,ITT INCO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46244,IBM,U:IBM,2005973,INTERNATIONAL BUS.MCHS.,INTL.BUS.MCHS.CORP.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46415,SLB,U:SLB,2779201,SLB,SLB NV,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46418,NEM,U:NEM,2636607,NEWMONT,NEWMONT CORPORATION,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46422,PG,U:PG,2704407,PROCTER & GAMBLE,THE P&G.CO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46588,WMT,@WMT,2936921,WALMART,WALMART INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1973-01-02T00:00:00,
46668,MCD,U:MCD,2550707,MCDONALDS,MCDONALD S CORP.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46669,DIS,U:DIS,2270726,WALT DISNEY,THE WALT DISNEY COMPANY,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
46712,INTC,@INTC,2463247,INTEL,INTEL CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1973-01-02T00:00:00,
49155,STZ,U:STZ,2170473,CONSTELLATION BRANDS 'A',COLTN.BNS.INCO.,EQ,XNYS,New York SE,USD,A,True,1986-07-01T00:00:00,
49160,WIBC,@WIBC,2537658,WILSHIRE BANCORP DEAD - DELIST.01/08/16,WILSHIRE BANCORP INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1997-01-24T00:00:00,2016-08-01T00:00:00
49161,TSAT,@TSAT,BLD1BD6,TELESAT B VARIABLE VOTING A,TELESAT CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,2005-08-15T00:00:00,
49167,HL,U:HL,2418601,HECLA MINING,HECLA MINING CO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
49174,PYI,U:PYI,2450960,PPLUS TST.SR.TWC-1 TST. CERTS.'A' DEAD - DELIST.15/11/10,MRLY.DEPOSITOR INCO.,EQ,XNYS,New York SE,USD,D,False,2004-03-01T00:00:00,2010-11-15T00:00:00
49184,CEMI,@CEMI,B80H073,CHEMBIO DIAGNOSTICS DEAD - DELIST.28/04/23,CHEMBIO DIAG.INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,2000-10-18T00:00:00,2023-04-28T00:00:00
49187,ERIE,@ERIE,2311711,ERIE INDEMNITY 'A',ERIE INDEMNITY CO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1995-10-02T00:00:00,
49199,RVR,U:RVR,B0GYJH5,WHITE RIVER CAPITAL DEAD - ACQD.BY 930813,WHITE RIVER CAP.INCO.,EQ,XASE,NYSE American,USD,D,False,1995-08-02T00:00:00,2013-02-15T00:00:00
49200,BEZ,U:BEZ,2072621,BALDOR ELECTRIC DEAD - DELIST.28/01/11,BALDOR ELECTRIC CO.,EQ,XNYS,New York SE,USD,D,False,1976-01-15T00:00:00,2011-01-28T00:00:00
49204,OMNI,@OMNI,2965118,OMNI EN.SVS. DEAD - DELIST.28/10/10,OMNI EN.SVS.CORP.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1997-12-05T00:00:00,2010-10-28T00:00:00
49207,TUESQ,@TUESQ,2411440,TUESDAY MORNING DEAD - DELIST.05/01/21,TUESDAY MORNING CORP.,EQ,PINC,OTC Pnk Currnt Info,USD,D,False,1999-04-22T00:00:00,2021-01-05T00:00:00
49211,PLUG,@PLUG,2508386,PLUG POWER,PLUG POWER INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,1999-10-29T00:00:00,
49220,HMC,U:HMC,2435279,HONDA MOTOR ADR 1:3,HONDA MOTOR CTD.,ADR,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
49234,VLO,U:VLO,2041364,VALERO ENERGY,VALERO ENERGY CORP.,EQ,XNYS,New York SE,USD,A,True,1979-06-15T00:00:00,
49235,ZLC,U:ZLC,2988900,ZALE DEAD - DELIST.30/05/14,ZALE CORP.,EQ,XNYS,New York SE,USD,D,False,1993-08-02T00:00:00,2014-05-30T00:00:00
49236,OVIP,U:OVIP,2943675,VIMPEL COMMS.OPEN JSC. SPN.ADR 2:1 DEAD - DELIST.14/05/10,VIMPEL COMMUNICATIONS,ADR,XNYS,New York SE,USD,D,False,1996-11-15T00:00:00,2010-05-14T00:00:00
49240,STZ.B,U:STZ.B,2173289,CONSTELLATION BRANDS 'B' DEAD - DELIST.11/11/22,COLTN.BNS.INCO.,EQ,XNYS,New York SE,USD,D,False,1973-02-28T00:00:00,2022-11-11T00:00:00
49244,BWEN,@BWEN,B8N2HP2,BROADWIND,BROADWIND INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,2004-03-29T00:00:00,
49247,PYT,U:PYT,B01XZL3,MRLY.DEPR.PPLUS FR. TRUPS SR.GSC-2,MRLY.DEPOSITOR INCO.,EQ,XNYS,New York SE,USD,A,True,2003-08-04T00:00:00,
49256,ICE,U:ICE,BFSSDS9,INTERCONTINENTAL EX.,ICTL.EXCHANGE INCO.,EQ,XNYS,New York SE,USD,A,True,2005-11-16T00:00:00,
49260,TNS,U:TNS,2303495,TNS DEAD - MERGER 930813,TNS INCO.,EQ,XNYS,New York SE,USD,D,False,2004-03-16T00:00:00,2013-02-19T00:00:00
49270,PYL,U:PYL,B05MSM8,MRLY.DEPOSITOR PPLUS TST.SR.LMG4 TST.CERT.'A' DEAD - DELIST.12/03/13,MRLY.DEPOSITOR INCO.,EQ,XNYS,New York SE,USD,D,False,2005-01-21T00:00:00,2013-03-12T00:00:00
49272,OSUR,@OSUR,2318790,ORASURE TECHS.,ORASURE TECHS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,1986-11-17T00:00:00,
49287,IDIX,@IDIX,2877536,IDENIX PHARMACEUTICALS DEAD - DELIST.06/08/14,IDENIX PHARMS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2004-07-22T00:00:00,2014-08-06T00:00:00
49292,GTI,U:GTI,2906719,GRAFTECH INTL. DEAD - ACQD.BY 895731,GRAFTECH INTL.LTD.,EQ,XNYS,New York SE,USD,D,False,1995-08-10T00:00:00,2015-08-17T00:00:00
49298,HTSI,U:HTSI,B7GH6J4,HARRIS TEETER SPMKTS. DEAD - DELIST.29/01/14,HARRIS TEETER SPMKTS.,EQ,XNYS,New York SE,USD,D,False,1973-01-02T00:00:00,2014-01-29T00:00:00
49304,PYO,U:PYO,B01F6Q1,PPLUS TST.5 DCNA-1 TST. CERT.'A' DEAD - DELIST.19/01/11,MRLY.DEPOSITOR INCO.,EQ,XNYS,New York SE,USD,D,False,2004-06-08T00:00:00,2011-01-19T00:00:00
49310,BFC,@BFC,BNZLBS3,BANK FIRST,BANK FIRST CORP.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,2002-01-30T00:00:00,
49311,RIME,@RIME,BNGH1Y6,ALGORHYTHM HOLDINGS,ALGORHYTHM HDG.INCO.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,A,True,1994-11-10T00:00:00,
49318,EMS,U:EMS,B0V02G8,EMERGENCY MED.SVS.'A' DEAD - DELIST.26/05/11,EMERGENCY MED.SVS.CORP.,EQ,XNYS,New York SE,USD,D,False,2005-12-16T00:00:00,2011-05-26T00:00:00
49338,PEET,@PEET,2717900,PEET'S COFFEE & TEA DEAD - DELIST.31/10/12,PEET'S COF.& TEA INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2001-01-25T00:00:00,2012-10-31T00:00:00
49339,NWK,@NWK,2628541,NETWORK EQU.TECHS. DEAD - ACQD.BY 292366,NETWORK EQU.TECHS.INCO.,EQ,XNMS,NASDAQ SE Glb Mkt,USD,D,False,1987-01-28T00:00:00,2012-09-04T00:00:00
49342,DPL,U:DPL,2258904,DPL DEAD - ACQD.BY 545101,DPL INCO.,EQ,XNYS,New York SE,USD,D,False,1973-01-02T00:00:00,2011-11-28T00:00:00
49346,HWK,U:HWK,2154886,HAWK CORP. 'A' DEAD - DELIST.02/12/10,HAWK CORP.,EQ,XASE,NYSE American,USD,D,False,1998-05-12T00:00:00,2010-12-02T00:00:00
49347,TFCFA,@TFCFA,BJ0M5P8,TWENTY FIRST CENTURY FOX A DEAD - DELIST.21/03/19,21ST.CENTURY FOX INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,2004-11-03T00:00:00,2019-03-21T00:00:00
49350,WY,U:WY,2958936,WEYERHAEUSER,WEYERHAEUSER CO.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
49352,WINT,@WINT,BTJWTY6,WINDTREE THERAPEUTICS,WINDTREE THERP.INCO.,EQ,EXPM,OTC Expert Mkt,USD,A,True,1995-08-08T00:00:00,
49353,LEN,U:LEN,2511920,LENNAR A A,LENNAR CORP.,EQ,XNYS,New York SE,USD,A,True,1973-01-02T00:00:00,
49359,RIGL,@RIGL,BQD3J33,RIGEL PHARMS.,RIGEL PHARMS.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,A,True,2000-11-29T00:00:00,
49363,RHB,U:RHB,2730231,REHABCARE GP. DEAD - DELIST.01/06/11,REHABCARE GP. INCO.,EQ,XNYS,New York SE,USD,D,False,1991-06-28T00:00:00,2011-06-01T00:00:00
49368,APOL,@APOL,2043694,APOLLO EDUCATION GP.'A' DEAD - DELIST.02/02/17,APOLLO ED.GP.INCO.,EQ,XNGS,NASDAQ Glb Slc Mkt,USD,D,False,1994-12-06T00:00:00,2017-02-02T00:00:00
49372,ESXB,@ESXB,B1CWK77,COMMUNITY BANKERS TST. DEAD - DELIST.06/12/21,CMTY.BANKERS TST.CORP.,EQ,XNCM,NASDAQ SE Capitl Mkt,USD,D,False,2006-09-05T00:00:00,2021-12-06T00:00:00
