symbol,yahoo_symbol,date,open_px
MCHPP,MCHPP,2026-08-13,68.66500091552734
LBTYA,LBTYA,2026-08-13,10.380000114440918
LBTYK,LBTYK,2026-08-13,10.130000114440918
MPC,MPC,2026-08-13,345.3999938964844
AAPL,AAPL,2026-08-13,304.2099914550781
ABM,ABM,2026-08-13,48.779998779296875
ABT,ABT,2026-08-13,112.47000122070312
B,B,2026-08-13,40.79999923706055
AB,AB,2026-08-13,36.63999938964844
IEP,IEP,2026-08-13,7.559999942779541
RAMP,RAMP,2026-08-13,37.849998474121094
ADBE,ADBE,2026-08-13,261.6099853515625
ADI,ADI,2026-08-13,387.44000244140625
ADM,ADM,2026-08-13,79.91000366210938
AEE,AEE,2026-08-13,109.41999816894531
AEP,AEP,2026-08-13,124.73999786376953
AFL,AFL,2026-08-13,121.29000091552734
AIG,AIG,2026-08-13,76.73999786376953
AIR,AIR,2026-08-13,148.63999938964844
AIT,AIT,2026-08-13,365.95001220703125
AJG,AJG,2026-08-13,256.3500061035156
MATX,MATX,2026-08-13,217.0
ALK,ALK,2026-08-13,48.25
ALX,ALX,2026-08-13,275.0
AMAT,AMAT,2026-08-13,548.8099975585938
PLD,PLD,2026-08-13,140.47000122070312
AMD,AMD,2026-08-13,483.0
AME,AME,2026-08-13,260.30999755859375
AMGN,AMGN,2026-08-13,419.9200134277344
FRME,FRME,2026-08-13,43.41999816894531
AMT,AMT,2026-08-13,171.35000610351562
AN,AN,2026-08-13,209.72000122070312
AOS,AOS,2026-08-13,62.95000076293945
APD,APD,2026-08-13,303.7900085449219
APH,APH,2026-08-13,169.82000732421875
APOG,APOG,2026-08-13,43.150001525878906
ARW,ARW,2026-08-13,211.02000427246094
ASB,ASB,2026-08-13,32.31999969482422
ASTE,ASTE,2026-08-13,43.43000030517578
ATRO,ATRO,2026-08-13,86.56999969482422
EPAC,EPAC,2026-08-13,37.439998626708984
AVA,AVA,2026-08-13,38.869998931884766
AVT,AVT,2026-08-13,97.4000015258789
AVY,AVY,2026-08-13,182.16000366210938
AXP,AXP,2026-08-13,345.3900146484375
BA,BA,2026-08-13,232.27000427246094
BAC,BAC,2026-08-13,65.19999694824219
BAX,BAX,2026-08-13,27.020000457763672
BBY,BBY,2026-08-13,83.91000366210938
BC,BC,2026-08-13,80.45999908447266
BCE,BCE,2026-08-13,23.149999618530273
BCPC,BCPC,2026-08-13,182.07000732421875
BDX,BDX,2026-08-13,184.75
BEN,BEN,2026-08-13,33.68000030517578
WRB,WRB,2026-08-13,70.12000274658203
BF.A,BF-A,2026-08-13,28.489999771118164
BF.B,BF-B,2026-08-13,28.270000457763672
BNY,BNY,2026-08-13,162.92999267578125
BKE,BKE,2026-08-13,45.720001220703125
BKH,BKH,2026-08-13,73.62999725341797
BALL,BALL,2026-08-13,62.66999816894531
BMI,BMI,2026-08-13,135.58999633789062
BPOP,BPOP,2026-08-13,177.9499969482422
BRC,BRC,2026-08-13,95.87999725341797
MTRN,MTRN,2026-08-13,281.54998779296875
CAC,CAC,2026-08-13,58.88999938964844
CAG,CAG,2026-08-13,15.100000381469727
CAT,CAT,2026-08-13,858.5
CBRL,CBRL,2026-08-13,59.22999954223633
CBSH,CBSH,2026-08-13,59.970001220703125
CBT,CBT,2026-08-13,85.38999938964844
CBU,CBU,2026-08-13,65.66000366210938
CCK,CCK,2026-08-13,121.98999786376953
FIZZ,FIZZ,2026-08-13,31.239999771118164
CDE,CDE,2026-08-13,18.399999618530273
AMZN,AMZN,2026-08-13,267.239990234375
CHCO,CHCO,2026-08-13,148.14999389648438
CHD,CHD,2026-08-13,102.01000213623047
BBT,BBT,2026-08-13,32.150001525878906
PPC,PPC,2026-08-13,26.950000762939453
CINF,CINF,2026-08-13,174.13999938964844
GE,GE,2026-08-13,367.0
CL,CL,2026-08-13,93.1500015258789
CLF,CLF,2026-08-13,12.180000305175781
CLH,CLH,2026-08-13,317.3500061035156
CLX,CLX,2026-08-13,106.12999725341797
CMC,CMC,2026-08-13,72.97000122070312
CMCSA,CMCSA,2026-08-13,25.6299991607666
CMS,CMS,2026-08-13,70.22000122070312
CNA,CNA,2026-08-13,51.0
CNMD,CNMD,2026-08-13,49.810001373291016
CNS,CNS,2026-08-13,85.37000274658203
COKE,COKE,2026-08-13,189.1300048828125
COO,COO,2026-08-13,77.26000213623047
CPB,CPB,2026-08-13,22.700000762939453
CPF,CPF,2026-08-13,39.0
EHC,EHC,2026-08-13,125.9000015258789
CRS,CRS,2026-08-13,531.77001953125
CSL,CSL,2026-08-13,385.9200134277344
CPT,CPT,2026-08-13,109.05000305175781
FLR,FLR,2026-08-13,52.13999938964844
CSWC,CSWC,2026-08-13,25.110000610351562
CSX,CSX,2026-08-13,50.439998626708984
BXMT,BXMT,2026-08-13,14.3100004196167
LUMN,LUMN,2026-08-13,6.28000020980835
CTS,CTS,2026-08-13,64.25
CMI,CMI,2026-08-13,640.260009765625
CVS,CVS,2026-08-13,95.44000244140625
CW,CW,2026-08-13,723.8800048828125
UVE,UVE,2026-08-13,42.810001373291016
D,D,2026-08-13,67.94000244140625
DCI,DCI,2026-08-13,96.62999725341797
DCO,DCO,2026-08-13,202.36000061035156
DE,DE,2026-08-13,619.5499877929688
GEN,GEN,2026-08-13,28.8799991607666
DHR,DHR,2026-08-13,207.05999755859375
DIS,DIS,2026-08-13,103.80000305175781
DJCO,DJCO,2026-08-13,560.6199951171875
DLX,DLX,2026-08-13,23.950000762939453
DOV,DOV,2026-08-13,208.77000427246094
DRI,DRI,2026-08-13,228.19000244140625
DTE,DTE,2026-08-13,139.27999877929688
DUK,DUK,2026-08-13,123.7699966430664
ECL,ECL,2026-08-13,278.95001220703125
ED,ED,2026-08-13,108.0
EFX,EFX,2026-08-13,181.22999572753906
EGP,EGP,2026-08-13,207.97000122070312
EME,EME,2026-08-13,832.8400268554688
EMR,EMR,2026-08-13,164.25999450683594
EQT,EQT,2026-08-13,53.619998931884766
ERIE,ERIE,2026-08-13,259.5
EXPD,EXPD,2026-08-13,185.0
NEU,NEU,2026-08-13,936.780029296875
DX,DX,2026-08-13,13.050000190734863
KGC,KGC,2026-08-13,27.170000076293945
TRV,TRV,2026-08-13,371.4599914550781
FAST,FAST,2026-08-13,52.380001068115234
FNB,FNB,2026-08-13,19.40999984741211
FBNC,FBNC,2026-08-13,66.13999938964844
FCNCA,FCNCA,2026-08-13,2288.43994140625
FCX,FCX,2026-08-13,68.1500015258789
FDX,FDX,2026-08-13,326.989990234375
FE,FE,2026-08-13,47.13999938964844
FEIM,FEIM,2026-08-13,78.29000091552734
FELE,FELE,2026-08-13,108.52999877929688
FFBC,FFBC,2026-08-13,34.33000183105469
FITB,FITB,2026-08-13,58.279998779296875
FLO,FLO,2026-08-13,7.25
FMC,FMC,2026-08-13,10.199999809265137
FOR,FOR,2026-08-13,29.520000457763672
NEE,NEE,2026-08-13,85.75
FRT,FRT,2026-08-13,118.02999877929688
SNEX,SNEX,2026-08-13,69.70999908447266
FSS,FSS,2026-08-13,127.22000122070312
FUL,FUL,2026-08-13,60.70000076293945
FULT,FULT,2026-08-13,24.450000762939453
EAT,EAT,2026-08-13,248.75999450683594
GD,GD,2026-08-13,396.0
GGG,GGG,2026-08-13,82.7300033569336
GHM,GHM,2026-08-13,113.33000183105469
GIS,GIS,2026-08-13,38.34000015258789
STT,STT,2026-08-13,190.0
GLW,GLW,2026-08-13,166.0
ALLY,ALLY,2026-08-13,44.56999969482422
GME,GME,2026-08-13,18.530000686645508
GATX,GATX,2026-08-13,180.8800048828125
GNTX,GNTX,2026-08-13,23.350000381469727
GPC,GPC,2026-08-13,135.30999755859375
GPI,GPI,2026-08-13,267.6499938964844
GAP,GAP,2026-08-13,20.3799991607666
GRC,GRC,2026-08-13,82.08000183105469
GT,GT,2026-08-13,6.039999961853027
