date,long_mv,short_mv,n_long,n_short,turnover
2026-07-01,42117227.15,-42226740.22,1136,1097,
2026-07-02,42215827.06,-42268459.83,1146,1081,0.132943
2026-07-06,41860682.97,-41871056.63,1183,1048,0.110629
2026-07-07,43614324.98,-43974993.65,1183,1049,0.145208
2026-07-08,44339889.53,-44864136.03,1198,1035,0.122842
2026-07-09,45800058.25,-46266505.9,1210,1026,0.122355
2026-07-10,46471172.11,-46610523.15,1203,1033,0.123901
2026-07-13,46354977.18,-46464868.76,1208,1027,0.106703
2026-07-14,46852695.71,-46549352.13,1204,1030,0.143388
2026-07-15,46502189.97,-46504574.49,1213,1025,0.132247
2026-07-16,46678526.12,-46651030.59,1228,1010,0.117983
2026-07-17,45784345.31,-45743327.03,1245,996,0.123482
2026-07-20,45555889.47,-44950287.69,1252,988,0.10823
2026-07-21,46066531.8,-45295823.03,1245,996,0.101702
2026-07-22,45336212.82,-44515939.61,1250,991,0.117325
2026-07-23,45179592.1,-44042669.3,1258,982,0.10659
2026-07-24,45912397.81,-44845604.5,1249,991,0.099774
2026-07-27,46600354.02,-45656072.84,1246,994,0.118443
2026-07-28,47433722.62,-46658777.18,1243,996,0.120839
2026-07-29,46084545.2,-45613056.07,1228,1010,0.112734
2026-07-30,46062741.84,-45250214.14,1243,994,0.107472
2026-07-31,45060418.72,-44133195.83,1232,1005,0.114148
