date,in_parquet,in_pkl,aligned,parquet_row,pkl_index_pos
2026-07-01,True,True,True,2908,3028
2026-07-02,True,True,True,2909,3029
2026-07-06,True,True,True,2910,3030
2026-07-07,True,True,True,2911,3031
2026-07-08,True,True,True,2912,3032
2026-07-09,True,True,True,2913,3033
2026-07-10,True,True,True,2914,3034
2026-07-13,True,True,True,2915,3035
2026-07-14,True,True,True,2916,3036
2026-07-15,True,True,True,2917,3037
2026-07-16,True,True,True,2918,3038
2026-07-17,True,True,True,2919,3039
2026-07-20,True,True,True,2920,3040
2026-07-21,True,True,True,2921,3041
2026-07-22,True,True,True,2922,3042
2026-07-23,True,True,True,2923,3043
2026-07-24,True,True,True,2924,3044
2026-07-27,True,True,True,2925,3045
2026-07-28,True,True,True,2926,3046
2026-07-29,True,True,True,2927,3047
2026-07-30,True,True,True,2928,3048
2026-07-31,True,True,True,2929,3049
