date,n_names,long_usd,short_usd,net_usd,gross_usd
2026-07-01,2233,42117227.14686605,-42226740.224672526,-109513.0778064765,84343967.37153858
2026-07-02,2227,42215827.06192405,-42268459.83200615,-52632.77008210146,84484286.8939302
2026-07-06,2231,41860682.969733074,-41871056.63461846,-10373.664885383565,83731739.60435152
2026-07-07,2232,43614324.97548407,-43974993.6495844,-360668.67410031916,87589318.62506847
2026-07-08,2233,44339889.53093359,-44864136.02759309,-524246.4966594969,89204025.55852666
2026-07-09,2236,45800058.254847474,-46266505.904261276,-466447.6494138066,92066564.15910876
2026-07-10,2236,46471172.108713046,-46610523.150945395,-139351.042232348,93081695.25965844
2026-07-13,2235,46354977.17879565,-46464868.76193798,-109891.58314233273,92819845.94073361
2026-07-14,2234,46852695.711193085,-46549352.1261296,303343.58506348287,93402047.83732268
2026-07-15,2238,46502189.97099691,-46504574.492057264,-2384.5210603526793,93006764.46305418
2026-07-16,2238,46678526.11987084,-46651030.59168175,27495.528189093107,93329556.71155259
2026-07-17,2241,45784345.30856751,-45743327.026821174,41018.28174632671,91527672.33538869
2026-07-20,2240,45555889.46662995,-44950287.68845691,605601.7781730414,90506177.15508687
2026-07-21,2241,46066531.801422656,-45295823.02852689,770708.7728957671,91362354.82994954
2026-07-22,2241,45336212.81802892,-44515939.613247775,820273.204781146,89852152.43127668
2026-07-23,2240,45179592.104470335,-44042669.3016525,1136922.802817841,89222261.40612283
2026-07-24,2240,45912397.810193405,-44845604.50446609,1066793.30572732,90758002.31465949
2026-07-27,2240,46600354.017862126,-45656072.843783975,944281.1740781516,92256426.8616461
2026-07-28,2239,47433722.619410776,-46658777.17906619,774945.4403445851,94092499.79847696
2026-07-29,2238,46084545.200914755,-45613056.07183177,471489.12908298895,91697601.27274653
2026-07-30,2237,46062741.842903584,-45250214.13854754,812527.7043560483,91312955.98145112
2026-07-31,2237,45060418.715992585,-44133195.83125848,927222.8847341063,89193614.54725108
