sod_date,target_date,long_usd,short_usd,gmv_usd,net_usd,traded_usd,long_traded_usd,short_traded_usd,turnover_gmv,turnover_long,turnover_short,turnover_2way,gmv_target,net_target
2026-07-01,2026-07-02,42117227.15,42226740.22,84343967.37,-109513.08,22425870.16,8576031.79,13849838.37,0.265886,0.203623,0.327987,0.265805,84484286.89,-52632.77
2026-07-02,2026-07-06,42215827.06,42268459.83,84484286.89,-52632.77,18692751.6,8203021.35,10489730.25,0.221257,0.194312,0.248169,0.22124,83731739.6,-10373.66
2026-07-06,2026-07-07,41860682.97,41871056.63,83731739.6,-10373.66,24317002.03,9691639.31,14625362.72,0.290416,0.231521,0.349295,0.290408,87589318.63,-360668.67
2026-07-07,2026-07-08,43614324.98,43974993.65,87589318.63,-360668.67,21519346.05,9309637.67,12209708.38,0.245685,0.213454,0.277651,0.245552,89204025.56,-524246.5
2026-07-08,2026-07-09,44339889.53,44864136.03,89204025.56,-524246.5,21829103.87,9963718.93,11865384.94,0.24471,0.224712,0.264474,0.244593,92066564.16,-466447.65
2026-07-09,2026-07-10,45800058.25,46266505.9,92066564.16,-466447.65,22814255.65,10012808.16,12801447.49,0.247802,0.21862,0.276689,0.247655,93081695.26,-139351.04
2026-07-10,2026-07-13,46471172.11,46610523.15,93081695.26,-139351.04,19864159.14,8214346.21,11649812.92,0.213406,0.176762,0.24994,0.213351,92819845.94,-109891.58
2026-07-13,2026-07-14,46354977.18,46464868.76,92819845.94,-109891.58,26618521.21,11412452.2,15206069.01,0.286776,0.246197,0.327259,0.286728,93402047.84,303343.59
2026-07-14,2026-07-15,46852695.71,46549352.13,93402047.84,303343.59,24704206.95,11222918.69,13481288.25,0.264493,0.239536,0.289613,0.264575,93006764.46,-2384.52
2026-07-15,2026-07-16,46502189.97,46504574.49,93006764.46,-2384.52,21946351.63,9005268.37,12941083.27,0.235965,0.193653,0.278275,0.235964,93329556.71,27495.53
2026-07-16,2026-07-17,46678526.12,46651030.59,93329556.71,27495.53,23048964.68,10110901.31,12938063.37,0.246963,0.216607,0.277337,0.246972,91527672.34,41018.28
2026-07-17,2026-07-20,45784345.31,45743327.03,91527672.34,41018.28,19812110.76,8430197.3,11381913.46,0.21646,0.184128,0.248821,0.216475,90506177.16,605601.78
2026-07-20,2026-07-21,45555889.47,44950287.69,90506177.16,605601.78,18409379.16,7997960.11,10411419.05,0.203405,0.175564,0.231621,0.203592,91362354.83,770708.77
2026-07-21,2026-07-22,46066531.8,45295823.03,91362354.83,770708.77,21438129.84,9479339.28,11958790.56,0.234649,0.205775,0.264015,0.234895,89852152.43,820273.2
2026-07-22,2026-07-23,45336212.82,44515939.61,89852152.43,820273.2,19154746.17,8738830.43,10415915.74,0.213181,0.192756,0.233982,0.213369,89222261.41,1136922.8
2026-07-23,2026-07-24,45179592.1,44042669.3,89222261.41,1136922.8,17804125.84,8691077.52,9113048.32,0.199548,0.192367,0.206914,0.199641,90758002.31,1066793.31
2026-07-24,2026-07-27,45912397.81,44845604.5,90758002.31,1066793.31,21499341.36,9416952.81,12082388.56,0.236886,0.205107,0.269422,0.237264,92256426.86,944281.17
2026-07-27,2026-07-28,46600354.02,45656072.84,92256426.86,944281.17,22296428.49,9834163.16,12462265.33,0.241679,0.211032,0.27296,0.241996,94092499.8,774945.44
2026-07-28,2026-07-29,47433722.62,46658777.18,94092499.8,774945.44,21214873.02,8819713.84,12395159.19,0.225468,0.185938,0.265655,0.225797,91697601.27,471489.13
2026-07-29,2026-07-30,46084545.2,45613056.07,91697601.27,471489.13,19709922.75,8461278.23,11248644.52,0.214945,0.183603,0.24661,0.215107,91312955.98,812527.7
2026-07-30,2026-07-31,46062741.84,45250214.14,91312955.98,812527.7,20846301.32,9409835.92,11436465.41,0.228295,0.204283,0.252738,0.228511,89193614.55,927222.88
