sod_date,target_date,allowed,turnover,sod_gross,target_gross,sod_net,target_net,n_sod_names,n_target_names,n_trade_intents,violation_codes
2026-07-01,2026-07-02,True,0.1329429410245734992617933778,84343967.371538579133371,84484286.8939301944767086,-109513.077806477119471,-52632.7700821007466594,2233,2227,2235,
2026-07-02,2026-07-06,True,0.1106285694777173669981035878,84484286.8939301944767086,83731739.60435153378435,-52632.7700821007466594,-10373.66488538357687,2227,2231,2231,
2026-07-06,2026-07-07,True,0.1452077918248815901284125001,83731739.60435153378435,87589318.625068464881096,-10373.66488538357687,-360668.674100319671524,2231,2232,2232,
2026-07-07,2026-07-08,True,0.1228422962064712403898856604,87589318.625068464881096,89204025.55852668224566,-360668.674100319671524,-524246.49665949617180,2232,2233,2234,
2026-07-08,2026-07-09,True,0.1223549258827453607596361432,89204025.55852668224566,92066564.159108746947568,-524246.49665949617180,-466447.649413806965080,2233,2236,2236,
2026-07-09,2026-07-10,True,0.1239008746408068282440157770,92066564.159108746947568,93081695.25965844108744833,-466447.649413806965080,-139351.04223234754359767,2236,2236,2237,
2026-07-10,2026-07-13,True,0.1067028220789624255689200662,93081695.25965844108744833,92819845.940733628655696,-139351.04223234754359767,-109891.583142332058584,2236,2235,2237,
2026-07-13,2026-07-14,False,0.1433880919805908735899423614,92819845.940733628655696,93402047.837322684910186,-109891.583142332058584,303343.585063481313014,2235,2234,2236,MAX_ORDER_SIZE
2026-07-14,2026-07-15,False,0.1322466022870652450966784972,93402047.837322684910186,93006764.463054184287497,303343.585063481313014,-2384.521060353252115,2234,2238,2239,MAX_ORDER_SIZE
2026-07-15,2026-07-16,True,0.1179825562063701710154037173,93006764.463054184287497,93329556.7115525895744774,-2384.521060353252115,27495.5281890947626186,2238,2238,2240,
2026-07-16,2026-07-17,False,0.1234815930420456238914494134,93329556.7115525895744774,91527672.335388687329288,27495.5281890947626186,41018.281746327350172,2238,2241,2243,MAX_ORDER_SIZE
2026-07-17,2026-07-20,True,0.1082301682711452511140361856,91527672.335388687329288,90506177.155086872966251,41018.281746327350172,605601.778173041679305,2241,2240,2241,
2026-07-20,2026-07-21,True,0.1017023353690448269495726121,90506177.155086872966251,91362354.829949536597956,605601.778173041679305,770708.772895766240066,2240,2241,2241,
2026-07-21,2026-07-22,True,0.1173247442987588767682900339,91362354.829949536597956,89852152.431276691555685,770708.772895766240066,820273.204781144447895,2241,2241,2241,
2026-07-22,2026-07-23,True,0.1065903578711398113137663610,89852152.431276691555685,89222261.40612283714313,820273.204781144447895,1136922.80281784126399,2241,2240,2241,
2026-07-23,2026-07-24,True,0.09977401134254375622144676073,89222261.40612283714313,90758002.31465949400628,1136922.80281784126399,1066793.30572731970354,2240,2240,2240,
2026-07-24,2026-07-27,False,0.1184432271230931791641755298,90758002.31465949400628,92256426.861646099253604,1066793.30572731970354,944281.174078150957904,2240,2240,2242,MAX_ORDER_SIZE|MIN_ORDER_SIZE
2026-07-27,2026-07-28,False,0.1208394322542636934750924453,92256426.861646099253604,94092499.798476965291908,944281.174078150957904,774945.440344585157052,2240,2239,2240,MAX_ORDER_SIZE
2026-07-28,2026-07-29,True,0.1127341343358290825978530731,94092499.798476965291908,91697601.272746524483315,774945.440344585157052,471489.129082988613105,2239,2238,2239,
2026-07-29,2026-07-30,True,0.1074724010061965197674775950,91697601.272746524483315,91312955.981451128518537,471489.129082988613105,812527.704356049001677,2238,2237,2238,
2026-07-30,2026-07-31,True,0.1141475549516565498635978100,91312955.981451128518537,89193614.547251077954139,812527.704356049001677,927222.884734105601739,2237,2237,2238,
