infocode,ticker,notional
6347,SCCO,-17385
36100,CSCO,18148
39985,ORCL,-35518
39988,MSFT,8053
40142,C,-3261
42241,BAP,78558
45293,AMZN,-3702
46092,CAT,7865
46113,PFE,28267
46120,KO,-8582
46150,MRSH,-17369
46157,BA,-13203
46169,MRK,21242
46171,XOM,8191
46182,HPQ,-15673
46238,GE,-6981
46243,ITT,4018
46244,IBM,-36621
46415,SLB,1295
46418,NEM,3077
46422,PG,-27390
46588,WMT,6267
46668,MCD,-22168
46669,DIS,-26360
46712,INTC,-395
49155,STZ,-15408
49167,HL,-12558
49187,ERIE,-10872
49211,PLUG,54540
49234,VLO,18427
49256,ICE,-238
49310,BFC,6634
49350,WY,5045
49353,LEN,-3662
49359,RIGL,94823
49381,EXC,21261
49443,EBAY,26334
49459,DOV,-64888
49480,ET,-13399
49497,NHC,-13184
49524,MD,6004
49529,PLPC,10077
49537,ROK,3380
49550,HURN,40755
49560,BELFA,-124934
49574,FAST,7453
49584,OSIS,3564
49588,STC,-51787
49596,DHR,-132221
49670,ARW,-5275
49725,SMG,-11916
49733,BRC,12661
49734,CFR,-7546
49754,ALG,4824
49764,COHU,-23717
49787,ZBRA,11023
49792,COKE,35497
49847,DORM,-11542
49856,APOG,-14196
49860,ALX,-59947
49895,ATI,6149
49903,TEX,-9091
49918,QDEL,-53042
49934,ESE,47746
49941,DAR,15577
49961,ANDE,-6265
49964,KMB,4240
49972,GFF,-2578
49991,PENN,5619
50018,MKC,17424
50049,REGN,29945
50057,LGND,20619
50058,VFC,-32230
50080,DRS,41715
50104,GEO,48227
50106,NTAP,32304
50108,PBI,26632
50111,VLY,39601
50159,CVSA,5644
50161,TDY,-87623
50201,FICO,-12530
50219,FFIV,-15362
50225,SUI,-66731
50252,LSTR,-61155
50301,TKR,34917
50309,UPS,-37749
50311,THG,30776
50334,ACLS,-11557
50338,SLGN,-63627
50346,ONB,30516
50356,PGR,22821
50364,UHAL,-33919
50381,CGNX,6059
50395,AMP,10941
50417,CRUS,5345
50421,AXON,25425
50425,NBIX,15971
50434,L,15385
50511,ASTH,-10783
50523,KALU,4148
50569,CBRL,14235
50586,EXEL,82650
50617,TIGO,49957
50638,MMM,-1606
50659,HXL,-11181
50679,IESC,165979
50684,LIVN,37877
50717,CCO,30793
50750,WTM,-2052
50771,BBT,-15978
50784,SCSC,-25387
50787,VRSN,17944
50791,ARWR,31241
50805,FFIN,26305
50864,ATR,36411
50872,RCL,19654
50893,CCEP,42339
50947,GPK,34937
50990,UNP,-19767
51004,NOG,6966
51032,JCI,2809
51066,USPH,-67698
51077,ACN,-40089
51105,NTES,29653
51134,TDG,-1573
51155,IDCC,17408
51173,MORN,-15024
51185,UTI,44806
51199,JBSS,21287
51205,SEIC,34259
51207,BIDU,-23773
51211,AXP,11731
51295,AX,43230
