symbol,quantity,market_price,cost_basis,cash,volatility
AAPL,50,190.00,180.00,20000,0.18
MSFT,20,420.00,400.00,,0.22
GOOG,5,175.00,170.00,,0.20
AMZN,8,185.00,170.00,,0.25
META,12,510.00,480.00,,0.28
NVDA,15,120.00,95.00,,0.55
TSLA,10,250.00,220.00,,0.62
JPM,25,198.00,185.00,,0.16
V,18,280.00,265.00,,0.15
UNH,6,520.00,500.00,,0.19
XOM,30,110.00,105.00,,0.21
JNJ,22,155.00,148.00,,0.12
WMT,14,165.00,155.00,,0.14
PG,16,168.00,160.00,,0.11
MA,9,460.00,440.00,,0.17
HD,7,360.00,340.00,,0.18
CVX,20,155.00,148.00,,0.20
ABBV,11,175.00,165.00,,0.19
COST,4,850.00,800.00,,0.16
PEP,13,170.00,162.00,,0.13
