symbol,quantity,market_price,volatility
AAPL,40,191.00,0.18
MSFT,25,418.00,0.22
AMZN,12,186.00,0.25
META,-8,512.00,0.28
NVDA,20,122.00,0.55
TSLA,-5,248.00,0.62
JPM,30,199.00,0.16
V,15,281.00,0.15
UNH,8,522.00,0.19
XOM,-10,111.00,0.21
JNJ,22,156.00,0.12
WMT,18,166.00,0.14
PG,12,169.00,0.11
MA,11,462.00,0.17
HD,5,358.00,0.18
CVX,20,156.00,0.20
ABBV,15,176.00,0.19
COST,3,855.00,0.16
PEP,10,171.00,0.13
AVGO,8,1400.00,0.24
LLY,5,780.00,0.23
ORCL,20,145.00,0.27
CRM,12,280.00,0.26
AMD,25,160.00,0.48
BA,-12,180.00,0.41
