symbol,quantity,market_price
MCHPP,444.7732308337636146560784831,66.150002
LBTYA,1779.092923335054458624313932,10.710000
LBTYK,2223.866154168818073280392416,10.500000
B,444.7732308337636146560784831,40.750000
IEP,-889.5464616675272293121569662,7.530000
RAMP,444.7732308337636146560784831,37.849998
ASTE,-444.7732308337636146560784831,45.650002
EPAC,-444.7732308337636146560784831,37.330002
BF.A,5782.052000838926990529020280,29.219999
CAG,1779.092923335054458624313932,15.100000
CDE,2223.866154168818073280392416,16.000000
PPC,889.5464616675272293121569662,26.650000
CLF,1779.092923335054458624313932,12.600000
CMCSA,4002.959077503872531904706348,24.990000
CPB,444.7732308337636146560784831,23.080000
BXMT,1779.092923335054458624313932,13.980000
LUMN,6671.598462506454219841177246,6.060000
GEN,444.7732308337636146560784831,27.440001
DLX,-444.7732308337636146560784831,27.500000
DX,3113.412615836345302592549382,12.870000
KGC,444.7732308337636146560784831,25.410000
FNB,889.5464616675272293121569662,19.440001
FFBC,889.5464616675272293121569662,34.630001
FLO,8450.691385841508678465491179,7.410000
FMC,889.5464616675272293121569662,10.690000
FOR,-3113.412615836345302592549382,29.719999
GME,1334.319692501290843968235449,18.990000
GNTX,444.7732308337636146560784831,24.150000
GAP,1334.319692501290843968235449,20.610001
GT,10229.78430917656313708980511,7.230000
HBAN,2668.639385002581687936470899,17.709999
DOC,1334.319692501290843968235449,21.980000
HOG,444.7732308337636146560784831,26.570000
HE,1779.092923335054458624313932,12.610000
HL,3113.412615836345302592549382,16.110001
HST,1779.092923335054458624313932,23.740000
HP,-444.7732308337636146560784831,35.520000
HRL,444.7732308337636146560784831,25.250000
HTLD,889.5464616675272293121569662,12.640000
KEY,1334.319692501290843968235449,23.280001
KMT,-444.7732308337636146560784831,33.500000
KO,2223.866154168818073280392416,87.860001
LEG,2668.639385002581687936470899,9.660000
BBWI,1334.319692501290843968235449,20.600000
MAT,1334.319692501290843968235449,14.600000
MITK,-889.5464616675272293121569662,16.639999
MLKN,-444.7732308337636146560784831,23.980000
MRTN,1334.319692501290843968235449,15.020000
NI,444.7732308337636146560784831,43.279999
NWL,8895.464616675272293121569662,6.140000
OLN,444.7732308337636146560784831,18.930000
F,6671.598462506454219841177246,14.150000
