infocode,ticker,notional
6347,SCCO,-22447.282834597181
36100,CSCO,12873.386662357768
39985,ORCL,-20475.785034192525
39988,MSFT,51938.2580799813115
40142,C,-3123.94278424702612
42241,BAP,71385.015697577332
45293,AMZN,353.466397559223
46092,CAT,7623.96980598435354
46113,PFE,31044.5405090948345
46120,KO,-10398.7202123345383
46150,MRSH,-22298.263903366378
46157,BA,-11548.0001903431377
46169,MRK,27535.763964301262
46171,XOM,2293.1206851576185
46182,HPQ,-41467.537021329446
46238,GE,-10453.860782569817
46243,ITT,-1611.5396389470602
46244,IBM,-30867.9976547317155
46415,SLB,-10404.7739639177718
46418,NEM,9795.683476918867
46422,PG,-26176.3410684239947
46588,WMT,2869.5533356745164
46668,MCD,-22719.229092820260
46669,DIS,-40985.725516425798
46712,INTC,8224.6440245101455
49155,STZ,-4504.538822696193
49167,HL,-7055.817115862306
49187,ERIE,-2991.575907036356
49211,PLUG,66120.545516400425
49234,VLO,30431.713358244286
49256,ICE,-7728.53738379256384
49310,BFC,1643.991710196196
49350,WY,10227.367898455447
49353,LEN,-12689.265796610021
49359,RIGL,86949.784782412714
49381,EXC,23006.7223068432191
49443,EBAY,27577.8961239945453
49459,DOV,-61582.8782861570652
49480,ET,-16523.651762575255
49497,NHC,-15415.028792043025
49524,MD,4242.2169834749392
49529,PLPC,32806.412958632583
49537,ROK,4323.702056177880
49550,HURN,48557.887436776595
49560,BELFA,-108773.494052326675
49574,FAST,13509.322233613598
49584,OSIS,4900.508764450288
49588,STC,-54683.357896934708
49596,DHR,-91582.57520119627
49670,ARW,-3227.5503505589824
49725,SMG,-10672.1845287034636
49733,BRC,18305.817845852754
49734,CFR,-5737.0716587621698
49754,ALG,7227.485310994743
49764,COHU,-8819.517438374014
49787,ZBRA,16071.194924908803
49792,COKE,39699.801833267406
49847,DORM,-22572.032880655825
49856,APOG,-17422.670748168283
49860,ALX,-62767.3846339199522
49895,ATI,11895.8994213147265
49903,TEX,-13794.470757248036
