ticker,infocode,quantity
BH,62441,106
BRK.A,72983,-1
FIVN,275041,1423
BTBT,304963,-7434
LDI,335446,-266533
PATH,338651,5714
PCOR,339898,425
TASK,340752,38636
DTM,341568,224
HTZ,341783,-23098
JXN,343833,111
ACT,344320,2295
NU,348839,9889
ESAB,353719,511
BAM,359752,291
SEZL,366529,1247
ARX,385014,6898
SCCO,6347,-25
CSCO,36100,-43
ORCL,39985,101
MSFT,39988,87
C,40142,0
BAP,42241,-18
AMZN,45293,14
CAT,46092,0
PFE,46113,107
KO,46120,-20
MRSH,46150,-26
BA,46157,6
MRK,46169,48
XOM,46171,-38
HPQ,46182,-886
GE,46238,-9
ITT,46243,-27
IBM,46244,23
SLB,46415,-228
NEM,46418,67
PG,46422,8
WMT,46588,-30
MCD,46668,-2
DIS,46669,-147
INTC,46712,83
STZ,49155,81
HL,49167,352
ERIE,49187,31
PLUG,49211,5305
VLO,49234,38
ICE,49256,-50
BFC,49310,-32
WY,49350,197
LEN,49353,-102
RIGL,49359,-202
EXC,49381,37
EBAY,49443,10
DOV,49459,15
ET,49480,-152
NHC,49497,-10
MD,49524,-70
PLPC,49529,52
ROK,49537,1
HURN,49550,50
BELFA,49560,65
FAST,49574,120
OSIS,49584,4
STC,49588,-42
DHR,49596,205
ARW,49670,8
SMG,49725,18
BRC,49733,56
CFR,49734,9
ALG,49754,13
COHU,49764,278
ZBRA,49787,13
COKE,49792,22
DORM,49847,-73
APOG,49856,-75
ALX,49860,-11
ATI,49895,28
TEX,49903,-71
QDEL,49918,416
ESE,49934,-18
DAR,49941,139
ANDE,49961,20
KMB,49964,-38
GFF,49972,-63
PENN,49991,241
MKC,50018,102
REGN,50049,8
LGND,50057,-5
VFC,50058,4100
DRS,50080,-129
GEO,50104,137
NTAP,50106,-1
PBI,50108,236
VLY,50111,-21
CVSA,50159,13
TDY,50161,0
FICO,50201,-25
FFIV,50219,-124
SUI,50225,-7
LSTR,50252,-383
TKR,50301,7
UPS,50309,50
THG,50311,29
ACLS,50334,28
SLGN,50338,-171
ONB,50346,-109
PGR,50356,-8
UHAL,50364,-17
CGNX,50381,77
AMP,50395,5
CRUS,50417,-75
AXON,50421,-10
NBIX,50425,-99
L,50434,-23
ASTH,50511,234
KALU,50523,17
CBRL,50569,164
EXEL,50586,82
TIGO,50617,-28
MMM,50638,-16
HXL,50659,-66
IESC,50679,31
LIVN,50684,-99
CCO,50717,-4274
WTM,50750,0
BBT,50771,246
SCSC,50784,-86
VRSN,50787,33
ARWR,50791,58
FFIN,50805,25
ATR,50864,60
RCL,50872,5
CCEP,50893,-67
GPK,50947,165
UNP,50990,-3
NOG,51004,-110
JCI,51032,17
USPH,51066,-832
ACN,51077,6
NTES,51105,12
TDG,51134,2
IDCC,51155,25
MORN,51173,-114
UTI,51185,34
JBSS,51199,43
SEIC,51205,25
BIDU,51207,-45
AXP,51211,-1
AX,51295,7
OLED,51296,64
SNX,51303,23
MUR,51342,44
AFG,51345,22
EGP,51379,-2
WTS,51388,-4
SGI,51392,-201
ADC,51400,-55
VTRS,51425,-305
GLP,51429,107
LAZ,51528,32
GPRE,51572,551
SAIA,51603,0
LECO,51609,-121
AGCO,51612,-140
ALKS,51627,53
MKL,51637,-4
NDAQ,51650,-60
EME,51657,14
IT,51672,12
BCPC,51683,-99
CXW,51697,169
EWBC,51700,8
MSM,51754,55
DOC,51778,52
LKQ,51781,-579
ALL,51789,0
ARCB,51793,42
NPK,51823,62
WST,51843,21
DVN,51846,-97
WSM,51889,-32
ALB,51906,29
CAG,51922,-49
FHN,51936,239
WEX,51939,-15
TXN,51959,-14
MRCY,52036,-3
SNA,52050,10
RVTY,52070,15
FSS,52105,90
JNJ,52146,13
SNDA,52164,-194
CNO,52167,119
EXLS,52175,-30
NKTR,52236,-31
TTWO,52243,-31
UNFI,52268,170
NSSC,52286,92
SPH,52298,141
EVC,52318,489
REPX,52343,100
SNEX,52363,63
FR,52364,-10
CATY,52370,-18
HWM,52373,-26
TER,52386,24
PFBC,52399,3
AB,52400,138
AZTA,52411,104
CVLT,52420,-594
AAON,52508,24
ABCB,52516,0
B,52577,38
BFH,52586,37
AEP,52590,-30
AGM,52596,22
AMN,52603,125
AIG,52604,62
AIN,52605,-72
AIT,52608,12
AJG,52611,-93
NDSN,52759,-39
NEO,52798,676
IDR,52825,-94
MO,52838,-87
MOS,52840,-218
MSI,52841,-3
MS,52853,13
MSA,52854,44
MTD,52862,1
MTH,52864,-30
MTX,52870,232
MU,52871,-20
NBN,52895,21
NBR,52896,-106
NEU,52905,11
NHI,52920,81
NNI,52935,26
NNN,52936,-151
NOC,52940,28
NOV,52942,-444
NPO,52945,3
EZPW,52987,-179
FCEL,53026,310
FCFS,53027,-9
FCNCA,53031,-1
SWKS,53092,-73
SYBT,53106,-36
GEN,53117,-186
TBBK,53154,-21
TCBI,53161,-20
TCBK,53162,124
ICFI,53172,-156
ICLR,53177,150
ICUI,53195,4
CENX,53406,-60
CFFN,53434,296
PZZA,53569,-25
QCOM,53577,74
QGEN,53582,225
VECO,53665,90
VICR,53686,76
CMPR,53726,122
VRTX,53744,12
VSEC,53748,-69
SRPT,53753,-29
BANR,53811,6
BCRX,53849,96
CWST,53876,144
CYTK,53910,-57
DECK,53954,-139
LPTH,54005,-476
LQDT,54007,130
LRCX,54008,11
LSCC,54017,-16
MATW,54068,-86
GRMN,54159,-21
CRI,54171,-265
CRK,54172,473
CRL,54173,23
AORT,54176,-369
CSX,54178,15
LUMN,54181,-445
CTS,54183,-266
CVS,54192,53
CWT,54195,-80
DAC,54202,0
DGX,54221,-8
DHT,54223,-69
DK,54228,73
DKS,54231,-46
DLB,54233,199
DLX,54235,106
DPZ,54245,18
DRH,54253,-47
DRI,54254,22
SIGI,54323,72
SIMO,54332,38
SIRI,54338,-196
TAP,54344,-66
TDS,54353,162
TDW,54355,-185
TFX,54362,53
THO,54370,-44
TJX,54380,-25
TOL,54395,-42
TPL,54399,-7
TR,54401,129
TRN,54404,-536
TRV,54405,-12
TTI,54413,1080
TREX,54420,183
OTTR,54519,-78
OZK,54531,50
PAAS,54532,62
PATK,54558,-10
PAYX,54562,-38
PCAR,54576,59
PDFS,54614,78
WRLD,54648,17
WSBC,54655,-222
WSFS,54660,-26
WTFC,54676,44
WYNN,54710,46
TOWN,54789,-122
TRMB,54829,-209
TRMK,54830,57
TSCO,54849,29
TSEM,54851,-28
BUSE,54997,-428
EFSC,55116,0
JBHT,55192,26
VIAV,55196,343
JKHY,55206,9
KLIC,55278,-46
COLB,55322,-35
CPRT,55369,-96
MKSI,55433,2
MKTX,55438,29
MLKN,55444,-325
MLCO,55510,1193
MPWR,55517,-8
MRTN,55538,478
MRVL,55539,38
MSEX,55548,83
THRM,55665,74
ARLP,55672,127
WELL,55690,-21
HE,55696,-296
HEI,55698,-23
HLF,55721,227
EHC,55722,-1
HLX,55723,-903
HMN,55726,149
HNI,55727,85
DINO,55728,-55
HOG,55729,261
HP,55732,-187
HRB,55736,98
LHX,55738,-5
HST,55743,8
HSY,55744,-26
HALO,55746,7
HRI,55749,42
HUN,55751,-2316
IDA,55765,-17
IFF,55771,18
BANC,55789,5494
FSLR,55819,29
FULT,55855,-128
GBCI,55892,-22
HCSG,55925,34
HFWA,55952,-203
HIFS,55969,0
HIMX,55973,224
ROCK,56122,-223
ROST,56131,-14
PRIM,56141,76
SAFT,56213,-85
SNPS,56460,-9
MDGL,56465,-5
PNW,56571,-25
AVNT,56574,-242
POR,56577,10
PPG,56580,-37
PPL,56581,-96
PRU,56592,45
PAR,56603,-179
RBA,56625,-104
RRX,56626,-1
